"INV_REF","CLUST_ID","PLOT_ID","Ecoregion","DATE","LAT","LON","ACDobs","SaatchiOrig1km","Saatchi1km","BacciniOrig500m","Baccini1km","ELEV","EVI","VCF","TEMP","TSEAS","PRECIP"
"IEFN-0 (DGF)","1","001C","moist","04.1995",-18.5018,48.4716833333333,104.4,142.205505371094,136,140.06,139.12,1080,0.414294421672821,76,187,2630,1557
"IEFN-0 (DGF)","1","001E","moist","04.1995",-18.5017997643485,48.4811560984769,24.3,141.363555908203,140,137.71,139.12,1171,0.421148965756098,73.3333333333333,184,2627,1536
"IEFN-0 (DGF)","1","001N","moist","04.1995",-18.4928168471588,48.4716833333333,87,156.292022705078,143,138.18,141,1023,0.427326172590256,75,193,2640,1616
"IEFN-0 (DGF)","1","001S","moist","04.1995",-18.5107831528412,48.4716833333333,45.6,139.381484985352,142,142.88,139.59,1135,0.403177877267202,70,194,2609,1638
"IEFN-0 (DGF)","1","001W","moist","04.1995",-18.5017997643485,48.4622105681897,104.6,97.5026245117188,129,140.53,140.06,1083,0.448950787385305,75,192,2647,1612
"IEFN-0 (DGF)","2","002C","moist","04.1995",-18.5722,48.5584833333333,132.8,154.349365234375,175,148.05,147.11,953,0.438380420207977,75.6666666666667,194,2625,1767
"IEFN-0 (DGF)","2","002E","moist","04.1995",-18.572199763386,48.5679600020958,143.3,202.542236328125,178,148.05,143.82,1016,0.458204100529353,76.6666666666667,194,2644,1759
"IEFN-0 (DGF)","2","002N","moist","04.1995",-18.5632168471588,48.5584833333333,147.8,149.24299621582,152,144.29,138.18,992,0.451089272896449,74.3333333333333,195,2636,1761
"IEFN-0 (DGF)","2","002S","moist","04.1995",-18.5811831528412,48.5584833333333,263.9,147.4736328125,155,144.29,140.53,969,0.415427436431249,75,195,2624,1786
"IEFN-0 (DGF)","2","002W","moist","04.1995",-18.572199763386,48.5490066645708,140.2,179.58903503418,169,148.05,145.7,939,0.415675193071365,70.3333333333333,194,2623,1749
"IEFN-0 (DGF)","3","003C","moist","04.1995",-18.7057666666667,48.4226333333333,125,132.32405090332,128,143.82,142.41,1153,0.405673940976461,77.3333333333333,185,2641,1619
"IEFN-0 (DGF)","3","003E","moist","04.1995",-18.7057664282242,48.43211745648,105,140.429504394531,146,141.47,141.94,1108,0.422462970018387,78,189,2664,1666
"IEFN-0 (DGF)","3","003N","moist","04.1995",-18.6967835138255,48.4226333333333,113.1,132.707244873047,133,142.41,145.23,1127,0.444871107737223,77.3333333333333,187,2671,1639
"IEFN-0 (DGF)","3","003S","moist","04.1995",-18.7147498195079,48.4226333333333,51.4,123.056060791016,128,141.47,138.18,1033,0.427908927202225,77.3333333333333,188,2671,1661
"IEFN-0 (DGF)","3","003W","moist","04.1995",-18.7057664282242,48.4131492101867,47,127.436660766602,135,141.94,139.59,1094,0.422313749790192,74.6666666666667,187,2667,1638
"IEFN-0 (DGF)","4","004E","moist","04.1995",-18.1231831028451,48.6924687372289,154.8,146.756469726562,149,147.58,140.06,963,0.451719611883163,75.3333333333333,200,2502,1491
"IEFN-0 (DGF)","4","004S","moist","04.1995",-18.1321664861745,48.6830166666667,159.8,152.718017578125,151,136.3,146.17,870,0.407667388518651,54.3333333333333,200,2545,1487
"IEFN-0 (DGF)","4","004W","moist","04.1995",-18.1231831028451,48.6735645961044,141.3,176.61376953125,176,122.67,81.31,972,0.443008879820506,75.6666666666667,199,2519,1465
"IEFN-0 (DGF)","5","005C","moist","04.1995",-18.4130333333333,48.49055,94.8,134.533828735352,131,139.59,135.83,1414,0.396299878756205,74,171,2553,1416
"IEFN-0 (DGF)","5","005E","moist","04.1995",-18.4130330988944,48.5000178680548,77.2,118.215774536133,116,140.06,133.95,1446,0.358404298623403,73.3333333333333,171,2557,1422
"IEFN-0 (DGF)","5","005N","moist","04.1995",-18.4040501804921,48.49055,88,131.378280639648,126,136.77,137.24,1417,0.379375199476878,72.3333333333333,171,2564,1412
"IEFN-0 (DGF)","5","005S","moist","04.1995",-18.4220164861745,48.49055,70.7,136.334228515625,134,137.71,141,1485,0.38929005463918,73.6666666666667,172,2554,1423
"IEFN-0 (DGF)","5","005W","moist","04.1995",-18.4130330988944,48.4810821319452,117.6,121.587295532227,115,148.99,137.71,1471,0.393870939811071,74.3333333333333,169,2539,1408
"IEFN-0 (DGF)","6","006C","moist","04.1995",-18.1557833333333,48.92,143.5,172.883773803711,157,67.21,104.34,956,0.504843175411224,80,215,2413,1945
"IEFN-0 (DGF)","6","006E","moist","04.1995",-18.1557831024014,48.9294538326353,100.4,116.047134399414,140,120.32,119.85,562,0.561685552199682,50,220,2417,2040
"IEFN-0 (DGF)","6","006N","moist","04.1995",-18.1468001804921,48.92,120.8,138.675582885742,147,57.81,56.4,565,0.59464555978775,51.6666666666667,222,2417,2064
"IEFN-0 (DGF)","6","006S","moist","04.1995",-18.1647664861745,48.92,125.6,162.881195068359,156,128.78,127.37,979,0.503855268160502,79.6666666666667,201,2523,1746
"IEFN-0 (DGF)","6","006W","moist","04.1995",-18.1557831024014,48.9105461673647,96.6,159.965362548828,161,110.45,130.66,833,0.530349016189575,74.3333333333333,215,2465,1934
"IEFN-0 (DGF)","7","007C","moist","04.1995",-18.43115,48.97735,13.3,142.964111328125,143,93.53,87.42,183,0.552984118461609,60.6666666666667,229,2276,2530
"IEFN-0 (DGF)","7","007E","moist","04.1995",-18.4311497653137,48.9868188652599,113.3,119.876449584961,149,78.96,103.87,503,0.548823575178782,71.6666666666667,221,2372,2411
"IEFN-0 (DGF)","8","008C","moist","04.1995",-18.69745,48.5018833333333,215.6,155.10009765625,160,146.64,118.91,919,0.43431211511294,75,198,2677,1855
"IEFN-0 (DGF)","8","008E","moist","04.1995",-18.6974497616715,48.5113669904777,182.9,168.093795776367,161,141.47,141.47,912,0.416114588578542,73,201,2662,1935
"IEFN-0 (DGF)","8","008N","moist","04.1995",-18.6884668471588,48.5018833333333,160,155.120834350586,159,144.29,141.94,950,0.440247058868408,73.3333333333333,199,2671,1872
"IEFN-0 (DGF)","8","008S","moist","04.1995",-18.7064331528412,48.5018833333333,226.2,155.623321533203,166,95.88,87.89,802,0.423864702383677,73.3333333333333,203,2625,1987
"IEFN-0 (DGF)","8","008W","moist","04.1995",-18.6974497616715,48.492399676189,224.2,211.123168945312,178,112.8,97.76,809,0.445346017678579,76.3333333333333,200,2645,1898
"IEFN-0 (DGF)","9","009C","moist","04.1995",-18.5181,48.6075333333333,52.6,229.080718994141,229,147.58,148.99,858,0.436544994513194,73,203,2587,1894
"IEFN-0 (DGF)","9","009E","moist","04.1995",-18.5180997641258,48.6170070007393,54.2,180.004531860352,185,142.88,141.94,823,0.40218244989713,72,204,2606,1925
"IEFN-0 (DGF)","9","009N","moist","04.1995",-18.5091168471588,48.6075333333333,78.5,229.710998535156,235,139.12,141.47,871,0.44701361656189,77,201,2590,1854
